# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
189.0; 4.043; -35.7; -1716.1; 3918.4; -35.7; -1140.3; 2462.3; 2200.0; -1869.2; 5004.0; 2200.0; -1406.1; 3547.8
192.0; 4.101; -35.7; -1681.7; 3909.0; -35.7; -1126.6; 2478.9; 2195.3; -1829.8; 4994.0; 2195.3; -1384.0; 3563.9
195.0; 4.159; -35.7; -1654.4; 3902.1; -35.7; -1115.7; 2493.0; 2190.7; -1797.7; 4986.5; 2190.7; -1365.8; 3577.4
198.0; 4.217; -35.7; -1636.0; 3898.3; -35.7; -1108.6; 2503.8; 2186.2; -1774.8; 4982.1; 2186.2; -1352.7; 3587.7
201.0; 4.274; -35.7; -1627.9; 3898.2; -35.7; -1106.0; 2510.9; 2181.7; -1762.5; 4981.5; 2181.7; -1345.6; 3594.2
204.0; 4.332; -35.7; -1631.3; 3902.3; -35.7; -1108.4; 2513.8; 2177.2; -1762.0; 4985.1; 2177.2; -1345.3; 3596.6
207.0; 4.389; -35.7; -1646.8; 3910.8; -35.7; -1116.3; 2512.2; 2172.9; -1774.3; 4993.1; 2172.9; -1352.3; 3594.4
210.0; 4.447; -35.7; -1674.7; 3923.9; -35.7; -1129.5; 2506.0; 2168.6; -1799.7; 5005.6; 2168.6; -1366.9; 3587.7
213.0; 4.504; -35.7; -1714.4; 3941.3; -35.7; -1147.5; 2495.3; 2164.3; -1838.2; 5022.5; 2164.3; -1388.7; 3576.6
216.0; 4.561; -35.7; -1764.4; 3962.5; -35.7; -1169.4; 2480.8; 2160.1; -1888.6; 5043.2; 2160.1; -1417.0; 3561.6
219.0; 4.618; -35.7; -1821.7; 3986.5; -35.7; -1193.6; 2463.4; 2156.0; -1948.4; 5066.8; 2156.0; -1450.3; 3543.7
